timestamp,ch1
1701530495.377,-12405.061710484233
1701530495.381,-12374.752745002836
1701530495.385,-12377.077326426188
1701530495.3890002,-12382.195875906453
1701530495.3930001,-12440.109245790154
1701530495.397,-12491.674720248548
1701530495.401,-12478.397784042096
1701530495.4050002,-12468.9429961375
1701530495.4090002,-12480.61060674317
1701530495.413,-12496.167420884065
1701530495.417,-12490.400670814595
1701530495.421,-12485.304473078784
1701530495.4250002,-12506.896258222612
1701530495.4290001,-12523.883584008645
1701530495.433,-12567.894168841145
1701530495.437,0.0
1701530495.441,-1247.875541195338
1701530495.4450002,-1783.8703732336014
1701530495.4490001,-2232.626346662801
1701530495.453,-2587.9296765243625
1701530495.457,-2916.6120787396526
1701530495.461,-3189.996265172513
1701530495.465,-3370.374842926841
1701530495.469,-3503.188908480276
1701530495.473,-3651.8056573636127
1701530495.477,-3798.8130806461672
1701530495.481,-3938.8244079142105
1701530495.4850001,-4068.3304152882597
1701530495.489,-4161.693651878078
1701530495.493,-4285.879944071763
1701530495.497,-4412.63668687781
1701530495.501,-4552.826828101495
1701530495.505,-4655.153114217891
1701530495.509,-4700.683617673351
1701530495.513,-4742.481379804776
1701530495.517,-4782.5580576131415
1701530495.521,-4800.394749688477
1701530495.525,-4827.887395368504
1701530495.529,-4844.897072898993
1701530495.533,-4907.9960474963245
1701530495.537,-4995.301961338754
1701530495.541,-5086.698244416505
1701530495.5449998,-5156.100410950233
1701530495.549,-5195.975923058501
1701530495.553,-5242.199330592076
1701530495.557,-5300.269162686964
1701530495.5609999,-5348.414820243695
1701530495.565,-5362.362308783807
1701530495.569,-5342.91629110769
1701530495.573,-5356.796724414436
1701530495.577,-5385.675178250692
1701530495.5809999,-5413.167823930719
1701530495.585,-5416.587640832382
1701530495.589,-5424.1872339471865
1701530495.593,-5452.104562771865
1701530495.597,-5489.9907696236105
1701530495.6009998,-5532.012049199588
1701530495.605,-5555.347270410928
1701530495.609,-5554.028517488065
1701530495.613,-5582.124660268386
1701530495.617,-5662.5685885630355
1701530495.621,-5736.016420843175
1701530495.625,-5758.122296109474
1701530495.6290002,-5755.104810608007
1701530495.6330001,-5772.42741256087
1701530495.637,-5794.667398293901
1701530495.641,-5819.366075917015
1701530495.6450002,-5842.768352361722
1701530495.6490002,-5848.400991964459
1701530495.653,-5891.942190163397
1701530495.657,-5932.2870889052265
1701530495.661,-5962.931330553452
1701530495.6650002,-5969.122763767572
1701530495.6690001,-5957.209283972894
1701530495.673,-5960.115010752083
1701530495.677,-5999.185860059961
1701530495.681,-6041.855340225142
1701530495.6850002,-6069.660910327543
1701530495.6890001,-6065.123506203116
1701530495.693,-6115.794910883297
1701530495.697,-6188.393376874134
1701530495.701,-6217.7412173439525
1701530495.705,-6199.792766546341
1701530495.709,-6153.83757994623
1701530495.713,-6102.093291532194
1701530495.717,-6072.387823151091
1701530495.721,-6049.209064150938
1701530495.7250001,-6064.587064336189
1701530495.729,-6064.385898636091
1701530495.733,-6109.3799602246245
1701530495.737,-6199.971580501983
1701530495.741,-6284.438822798589
1701530495.7450001,-6321.676829061131
1701530495.749,-6321.140387194203
1701530495.753,-6293.714796747541
1701530495.757,-6244.630365923687
1701530495.761,-6196.752929300419
1701530495.765,-6131.329373279736
1701530495.769,-6054.193503164471
1701530495.773,-6029.450122052446
