timestamp,ch1
1701530397.594,-15325.98767590376
1701530397.598,-15160.987098334683
1701530397.602,-15069.903739679306
1701530397.606,-14946.164482374727
1701530397.6100001,-14757.44870393857
1701530397.614,-14562.563844032748
1701530397.618,-14505.276322993795
1701530397.622,-14495.86623857811
1701530397.626,-14445.463054831393
1701530397.63,-14307.888067708978
1701530397.634,-14144.809740163058
1701530397.638,-14014.342607777431
1701530397.642,-13972.947177046202
1701530397.646,-13948.628479078829
1701530397.6499999,-13878.712222422628
1701530397.654,-13750.323802271343
1701530397.658,-13803.006863952502
1701530397.662,-14003.72552916116
1701530397.666,-14176.325699845042
1701530397.67,-14253.416866471394
1701530397.674,-14237.524776163671
1701530397.678,-14216.58119160905
1701530397.682,-14181.690118514314
1701530397.6859999,-14131.063417323045
1701530397.69,-14038.34838132243
1701530397.694,-13919.95119094267
1701530397.698,-13934.32336262743
1701530397.702,-13983.38544170683
1701530397.7059999,-13948.00263023408
1701530397.71,-13831.25946894401
1701530397.714,-13697.99836850147
1701530397.718,-13600.231838253956
1701530397.722,-13522.984209416416
1701530397.7259998,-13444.551938122742
1701530397.7299998,-13367.88545464104
1701530397.734,-13257.333726565092
1701530397.738,-13262.474627789812
1701530397.7419999,-13282.792363499686
1701530397.7459998,-13239.988772867773
1701530397.75,-13122.060969121572
1701530397.754,-12979.769763919088
1701530397.758,-12907.238353161616
1701530397.7619998,-12934.820405819466
1701530397.7659998,-12967.118676557384
1701530397.77,-12979.680356941266
1701530397.774,-12975.835856894953
1701530397.7779999,-13055.609232855944
1701530397.7819998,-13183.260045440204
1701530397.7859998,-13280.82540998762
1701530397.79,-13280.557189054154
1701530397.794,-13235.607830954532
1701530397.7979999,-13248.169511338416
1701530397.802,-13301.031386975215
1701530397.806,-13297.119831695538
1701530397.81,-13228.164700050915
1701530397.8140001,-13089.136849538905
1701530397.818,-13071.657785374855
1701530397.822,-13109.566343971055
1701530397.826,-13102.570247956544
1701530397.8300002,-13048.25550893015
1701530397.834,-12974.718269672188
1701530397.838,-12923.622181847357
1701530397.842,-12921.61052484638
1701530397.846,-12878.292844091993
1701530397.8500001,-12777.084145198363
1701530397.854,-12654.060143716353
1701530397.858,-12678.959987039565
1701530397.862,-12760.700316512623
1701530397.866,-12803.213334466618
1701530397.8700001,-12767.964633460599
1701530397.874,-12680.74812659599
1701530397.878,-12658.865768774245
1701530397.882,-12693.734490124523
1701530397.886,-12660.229225186018
1701530397.8899999,-12615.63749499768
1701530397.894,-12572.20805552102
1701530397.898,-12584.881494627178
1701530397.902,-12637.87748073071
1701530397.906,-12669.773420068434
1701530397.91,-12635.150567907163
1701530397.914,-12569.235273508462
1701530397.918,-12520.843746762723
1701530397.922,-12535.662953336592
1701530397.9259999,-12541.586165617247
1701530397.93,-12462.75156292338
1701530397.934,-12370.528265300783
1701530397.938,-12409.68852158648
1701530397.942,-12479.962406153967
1701530397.9459999,-12501.308322108785
1701530397.95,-12441.070370801732
1701530397.954,-12310.893811094023
1701530397.958,-12246.721952762837
1701530397.962,-12233.713237489848
1701530397.9659998,-12236.0378189132
1701530397.9699998,-12248.152464407976
1701530397.974,-12208.925152888913
1701530397.978,-12252.399295854486
1701530397.9819999,-12323.030808333257
1701530397.9859998,-12329.423407247474
1701530397.99,-12246.766656251748
1701530397.994,-12180.583140919583
1701530397.998,-12197.503411472251
1701530398.0019999,-12255.394429611497
1701530398.0059998,-12320.77328214327
1701530398.01,-12312.212564016887
1701530398.014,-12203.583085964096
1701530398.018,-12154.096323740045
1701530398.0219998,-12178.035042051679
1701530398.0259998,-12214.311923302643
1701530398.03,-12182.684204898384
1701530398.034,-12124.63672454795
1701530398.0379999,-12089.320968308564
1701530398.042,-12039.297764217588
1701530398.046,-11994.527220073607
1701530398.05,-11917.704274380718
1701530398.0540001,-11814.886249886305
1701530398.058,-11801.251685768568
1701530398.062,-11839.20494785368
1701530398.066,-11857.891006218315
1701530398.0700002,-11814.193345808191
1701530398.0740001,-11759.453923637144
1701530398.078,-11790.81342110794
1701530398.082,-11878.342852394922
1701530398.086,-11990.235685138188
1701530398.0900002,-12072.91478787837
1701530398.094,-12123.139157669444
1701530398.098,-12209.372187778019
1701530398.102,-12258.836598257614
1701530398.106,-12216.144766347978
1701530398.1100001,-12075.038203601624
1701530398.114,-11909.657646376807
1701530398.118,-11868.351622623399
1701530398.122,-11883.126125708357
1701530398.126,-11905.902553308315
1701530398.1299999,-11867.859884245383
1701530398.134,-11731.827167490384
1701530398.138,-11681.669852932675
1701530398.142,-11669.242283015525
1701530398.146,-11640.475587901545
1701530398.15,-11566.156037587649
1701530398.154,-11463.717992748976
1701530398.158,-11440.650992471099
1701530398.162,-11473.172780653571
1701530398.166,-11505.5157548804
1701530398.17,-11458.755905479897
1701530398.174,-11320.018627645806
1701530398.178,-11253.902167547009
1701530398.182,-11252.583414624145
1701530398.1859999,-11284.054670817217
1701530398.19,-11301.109051836616
1701530398.194,-11343.219738390415
1701530398.198,-11406.475175198935
1701530398.202,-11497.424423387578
1701530398.2059999,-11591.994654177983
1701530398.2099998,-11603.77402350593
1701530398.214,-11483.365176125191
1701530398.218,-11451.960975165484
1701530398.222,-11491.992949484938
1701530398.2259998,-11543.401961732145
1701530398.23,-11515.618743374198
1701530398.234,-11443.668477972566
1701530398.238,-11446.909480918584
1701530398.2419999,-11551.783865902886
1701530398.2459998,-11678.339443008834
1701530398.25,-11748.769789787506
1701530398.254,-11684.55322796741
1701530398.258,-11687.12367857977
1701530398.2619998,-11744.299440896446
1701530398.2659998,-11791.416918208233
1701530398.27,-11783.61615939333
1701530398.274,-11776.28478721199
1701530398.2779999,-11814.327456274923
1701530398.282,-11895.665454347785
1701530398.286,-11966.632242993384
1701530398.29,-11985.854743224949
1701530398.2940001,-11931.092969309446
1701530398.298,-11924.990943073148
1701530398.302,-11924.052169806024
1701530398.306,-11937.194995545746
