timestamp,ch1
1701525718.31,-8597.777318689505
1701525718.314,-8634.56829006294
1701525718.3179998,-8655.154246706277
1701525718.322,-8644.581871578917
1701525718.326,-8611.188365362688
1701525718.33,-8581.46054523713
1701525718.3339999,-8542.613213373807
1701525718.338,-8526.139977710245
1701525718.342,-8517.042817716934
1701525718.346,0.0
1701525718.35,-15307.748652428229
1701525718.3539999,-15309.916771640394
1701525718.358,-15306.206382060813
1701525718.362,-15314.163603086901
1701525718.366,-15330.41332130591
1701525718.37,-15320.466795023298
1701525718.3739998,-15334.593097519053
1701525718.378,-15340.471606310799
1701525718.382,-15337.27530685369
1701525718.386,-15333.117882385002
1701525718.39,-15341.030399922181
1701525718.394,-15345.009010435226
1701525718.398,-15346.797149991651
1701525718.4020002,-15346.350115102545
1701525718.4060001,-15348.652344781442
1701525718.41,-15346.014838935715
1701525718.414,-15353.010934950225
1701525718.4180002,-15361.057562954136
1701525718.4220002,-15361.571653076608
1701525718.426,-15360.990507720771
1701525718.43,-15365.617318823019
1701525718.434,-15371.80875203714
1701525718.4380002,-15370.735868303283
1701525718.4420002,-15376.033231739191
1701525718.446,-15378.111943973536
1701525718.45,-15369.819446780617
1701525718.454,-15368.52304560221
1701525718.4580002,-15382.537589375686
1701525718.4620001,-15386.225627210812
1701525718.466,-15383.498714387264
1701525718.47,-15386.739717333285
1701525718.474,-15376.480266628298
1701525718.478,-15382.671699842418
1701525718.482,-15395.054566270659
1701525718.486,-15392.417060424932
1701525718.49,-15393.109964503046
1701525718.494,-15382.783458564694
1701525718.4980001,-15392.059432513648
1701525718.502,-15392.57352263612
1701525718.506,-15387.94671153387
1701525718.51,-15388.304339445156
1701525718.514,-15391.031252268704
1701525718.5180001,-15400.039005284192
1701525718.522,-15381.934092275393
1701525718.526,-15380.749449819263
1701525718.53,-15397.826182583116
1701525718.534,-15403.838801841594
1701525718.538,-15398.206162238857
1701525718.542,-15390.293644701678
1701525718.546,-15392.61822612503
1701525718.55,-15394.473420914821
1701525718.554,-15396.015691282237
1701525718.5579998,-15395.47924941531
1701525718.562,-15390.293644701678
1701525718.566,-15376.502618372753
1701525718.57,-15393.355833692056
1701525718.574,-15414.075900802125
1701525718.578,-15404.799926853173
1701525718.582,-15400.106060517557
1701525718.586,-15401.558923907152
1701525718.59,-15408.867944344038
1701525718.5939999,-15405.828107098116
1701525718.598,-15412.95831357936
1701525718.602,-15420.110871805058
